# 2d example: 16/36

RAW_SIMULATION_TIME: 1147.902697
Cycle; Dim; Run; Duration
cycle_4; dim_2; MD_prep; 14.869969
cycle_4; dim_2; MD_run; 19.642861
cycle_4; dim_1; MD_prep; 15.078614
cycle_4; dim_1; MD_run; 20.973272
cycle_1; dim_2; EX_prep; 10.160412
cycle_1; dim_2; Post_proc; 0.548865
cycle_1; dim_2; EX_run; 263.580409
cycle_1; dim_2; MD_prep; 11.934088
cycle_1; dim_2; MD_run; 16.593939
cycle_1; dim_1; EX_prep; 9.597062
cycle_1; dim_1; Post_proc; 0.85412
cycle_1; dim_1; EX_run; 2.176592
cycle_1; dim_1; MD_prep; 12.353204
cycle_1; dim_1; MD_run; 37.816565
cycle_2; dim_2; EX_prep; 10.705966
cycle_2; dim_2; Post_proc; 0.549671
cycle_2; dim_2; EX_run; 264.471512
cycle_2; dim_2; MD_prep; 12.698197
cycle_2; dim_2; MD_run; 16.969931
cycle_2; dim_1; EX_prep; 10.179875
cycle_2; dim_1; Post_proc; 1.030309
cycle_2; dim_1; EX_run; 2.466099
cycle_2; dim_1; MD_prep; 13.882858
cycle_2; dim_1; MD_run; 15.087094
cycle_3; dim_2; EX_prep; 12.291014
cycle_3; dim_2; Post_proc; 0.854182
cycle_3; dim_2; EX_run; 262.488455
cycle_3; dim_2; MD_prep; 13.50544
cycle_3; dim_2; MD_run; 18.850517
cycle_3; dim_1; EX_prep; 11.147446
cycle_3; dim_1; Post_proc; 1.255378
cycle_3; dim_1; EX_run; 3.642775
cycle_3; dim_1; MD_prep; 15.103262
cycle_3; dim_1; MD_run; 23.999999
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
5525e1c323769c196acc4f59; 1081.701854; 1090.962854; 1093.970854; 1094.203854; cycle_4; dim_1; run_MD
5525e1c323769c196acc4f58; 1081.365854; 1089.490854; 1092.543854; 1092.786854; cycle_4; dim_1; run_MD
5525e1cd23769c196acc4f70; 1091.206854; 1105.622854; 1108.763854; 1108.999854; cycle_4; dim_1; run_MD
5525e1cd23769c196acc4f71; 1091.840854; 1106.979854; 1111.231854; 1111.687854; cycle_4; dim_1; run_MD
5525e1cb23769c196acc4f6b; 1089.085854; 1103.219854; 1106.447854; 1107.280854; cycle_4; dim_1; run_MD
5525e1c423769c196acc4f5a; 1082.106854; 1092.745854; 1095.984854; 1096.447854; cycle_4; dim_1; run_MD
5525e1ca23769c196acc4f68; 1087.982854; 1102.713854; 1106.036854; 1106.912854; cycle_4; dim_1; run_MD
5525e1bf23769c196acc4f50; 1077.837854; 1080.544854; 1083.559854; 1083.768854; cycle_4; dim_1; run_MD
5525e1bf23769c196acc4f4f; 1077.504854; 1078.999854; 1082.007854; 1082.272854; cycle_4; dim_1; run_MD
5525e1ca23769c196acc4f69; 1088.341854; 1102.881854; 1106.173854; 1107.029854; cycle_4; dim_1; run_MD
5525e1cc23769c196acc4f6d; 1090.110854; 1104.016854; 1107.258854; 1107.861854; cycle_4; dim_1; run_MD
5525e1c923769c196acc4f66; 1086.974854; 1102.096854; 1105.319854; 1106.155854; cycle_4; dim_1; run_MD
5525e1c923769c196acc4f67; 1087.657854; 1102.540854; 1105.899854; 1106.793854; cycle_4; dim_1; run_MD
5525e1c423769c196acc4f5b; 1082.502854; 1093.052854; 1096.121854; 1096.654854; cycle_4; dim_1; run_MD
5525e1c423769c196acc4f5c; 1082.838854; 1094.318854; 1097.286854; 1097.660854; cycle_4; dim_1; run_MD
5525e1c523769c196acc4f5e; 1083.879854; 1098.046854; 1101.202854; 1101.471854; cycle_4; dim_1; run_MD
5525e1c523769c196acc4f5d; 1083.482854; 1095.622854; 1098.607854; 1099.112854; cycle_4; dim_1; run_MD
5525e1c123769c196acc4f54; 1079.626854; 1084.630854; 1087.562854; 1087.739854; cycle_4; dim_1; run_MD
5525e1c123769c196acc4f53; 1079.233854; 1084.132854; 1087.101854; 1087.601854; cycle_4; dim_1; run_MD
5525ddc923769c196acc4de7; 63.033854; 65.115854; 68.032854; 68.223854; cycle_1; dim_2; run_MD
5525ddc923769c196acc4de9; 63.673854; 82.086854; 85.071854; 85.162854; cycle_1; dim_2; run_MD
5525ddc923769c196acc4de8; 63.388854; 81.690854; 84.718854; 84.818854; cycle_1; dim_2; run_MD
5525ddcd23769c196acc4df6; 67.933854; 78.943854; 81.923854; 82.051854; cycle_1; dim_2; run_MD
5525ddcd23769c196acc4df5; 67.628854; 77.689854; 80.660854; 80.759854; cycle_1; dim_2; run_MD
5525ddcd23769c196acc4df4; 67.320854; 76.429854; 79.377854; 79.495854; cycle_1; dim_2; run_MD
5525ddce23769c196acc4df8; 68.625854; 80.325854; 83.267854; 83.563854; cycle_1; dim_2; run_MD
5525ddce23769c196acc4df9; 68.949854; 82.206854; 85.439854; 86.423854; cycle_1; dim_2; run_MD
5525ddca23769c196acc4dec; 64.624854; 67.796854; 70.746854; 70.879854; cycle_1; dim_2; run_MD
5525ddce23769c196acc4df7; 68.290854; 80.211854; 83.130854; 83.449854; cycle_1; dim_2; run_MD
5525ddca23769c196acc4dea; 64.008854; 65.642854; 68.666854; 68.783854; cycle_1; dim_2; run_MD
5525ddca23769c196acc4ded; 64.953854; 68.980854; 72.030854; 72.150854; cycle_1; dim_2; run_MD
5525ddcc23769c196acc4df1; 66.206854; 73.065854; 76.103854; 76.183854; cycle_1; dim_2; run_MD
